time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/value_loss,train/entropy_loss,rollout/ep_rew_mean,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/std,rollout/ep_len_mean,train/explained_variance,train/clip_range_vf,train/n_updates,train/loss,train/approx_kl,train/learning_rate
2174,30015488,13804,229,0.36727485880837774,27.24945716112852,54.55264663696289,0.1,0.13765335083007812,-0.002633043762853049,0.08143949508666992,1000.0,0.3030015230178833,0.2,2280,0.7297645211219788,0.0025007576,1e-05
2174,30146560,13862,230,1.7303606942296028,27.195144337415694,54.87234878540039,0.1,0.10716171264648437,-0.0023246037633725793,0.08162517845630646,1000.0,0.3366602063179016,0.2,2290,2.0101380348205566,0.0023047472,1e-05
2174,30277632,13925,231,0.3202200791391078,27.140069182217122,54.636383056640625,0.1,0.11755905151367188,-0.0026516859765251866,0.0818023607134819,1000.0,0.3633298873901367,0.2,2300,0.6625826954841614,0.0023797667,1e-05
2174,30408704,13984,232,1.9016435756348073,27.0825849249959,54.53752136230469,0.1,0.10572052001953125,-0.002401363029503045,0.08199755847454071,1000.0,0.2524198889732361,0.2,2310,2.6198692321777344,0.0021584206,1e-05
2174,30539776,14045,233,0.32143237328273244,27.025512930750846,54.549015045166016,0.1,0.12069778442382813,-0.002615391703966452,0.08217719942331314,1000.0,0.3171522617340088,0.2,2320,0.8018743395805359,0.0023502023,1e-05
2173,30670848,14109,234,2.0905932783149184,26.970375978946684,54.293609619140625,0.1,0.11688995361328125,-0.0020219147240823077,0.08236140012741089,995.73,0.14257526397705078,0.2,2330,2.665091037750244,0.0023666047,1e-05
2172,30801920,14177,235,0.2829115709697362,26.918991436064243,54.789466857910156,0.1,0.12341156005859374,-0.0024419026854957337,0.08252009749412537,1000.0,0.32745277881622314,0.2,2340,0.4283440113067627,0.0023690604,1e-05
2171,30932992,14243,236,1.9067140758037566,26.866634149849414,54.70612716674805,0.1,0.10394134521484374,-0.0018983382246005932,0.08270280808210373,1000.0,0.26094263792037964,0.2,2350,2.366307497024536,0.0021506613,1e-05
2170,31064064,14313,237,0.2585273775650421,26.81136840581894,55.6606559753418,0.1,0.1302459716796875,-0.0024939767171872516,0.08288910984992981,1000.0,0.41886961460113525,0.2,2360,0.6443209648132324,0.002439023,1e-05
2167,31195136,14389,238,1.9418653935194015,26.754654213786125,55.64250946044922,0.1,0.10685348510742188,-0.0024344250655303767,0.0830753818154335,1000.0,0.324108362197876,0.2,2370,1.935154914855957,0.0021787968,1e-05
