rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,time/iterations,rollout/ep_len_mean,train/clip_fraction,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range_vf,train/clip_range,train/approx_kl,train/learning_rate
27.031599044799805,309,3407872,11003,26,624.86,0.124920654296875,0.06100528687238693,33.15644745230675,-0.0019713567861799675,0.564763348735869,2.214388370513916,0.8251292109489441,250,0.2,0.1,0.0031359843,1e-05
28.37566375732422,321,3538944,10994,27,652.46,0.12674560546875,0.061509426683187485,32.959530502557755,-0.0020827200187341077,0.5625514706596733,2.1883392333984375,0.8369743227958679,260,0.2,0.1,0.0031629647,1e-05
26.619800567626953,333,3670016,10992,28,617.39,0.1291229248046875,0.06201240420341492,32.763464021682736,-0.0018660946863747086,0.58702662975993,2.2712204456329346,0.8316669464111328,270,0.2,0.1,0.003195412,1e-05
27.58911895751953,345,3801088,10988,29,647.25,0.12622299194335937,0.06251834332942963,32.56798223257065,-0.0019086965320639139,0.563556281500496,2.1526427268981934,0.8328129053115845,280,0.2,0.1,0.0031665743,1e-05
25.257654190063477,358,3932160,10981,30,586.68,0.12729110717773437,0.06302804499864578,32.37323822379112,-0.002095604999612988,0.6247781628277153,2.1484973430633545,0.8369690775871277,290,0.2,0.1,0.003155682,1e-05
24.890087127685547,370,4063232,10976,31,578.35,0.1260498046875,0.06354733556509018,32.177005258202556,-0.0019534725474841252,0.6235923844855279,2.257453203201294,0.8385450839996338,300,0.2,0.1,0.0031629638,1e-05
26.549907684326172,382,4194304,10965,32,620.54,0.12298126220703125,0.06407172977924347,31.980062195658682,-0.001940269975875708,0.576036681397818,2.185206890106201,0.8593907952308655,310,0.2,0.1,0.0031226324,1e-05
26.46044921875,394,4325376,10961,33,616.13,0.12799911499023436,0.06461034715175629,31.780935223400594,-0.0021984188051646925,0.6392214327352121,2.2343852519989014,0.8553276658058167,320,0.2,0.1,0.003260578,1e-05
26.817869186401367,406,4456448,10954,34,622.84,0.11962432861328125,0.06514239311218262,31.58225015103817,-0.0019904472496818926,0.5954814086668193,2.1689305305480957,0.8649113178253174,330,0.2,0.1,0.0030610338,1e-05
27.224323272705078,418,4587520,10948,35,638.44,0.12144317626953124,0.06567126512527466,31.386810261011124,-0.0017441542647247843,0.63557148585096,2.16229510307312,0.8544273376464844,340,0.2,0.1,0.0030390732,1e-05
28.507280349731445,431,4718592,10941,36,660.6,0.12046661376953124,0.06621270626783371,31.19095919728279,-0.0019692292198669747,0.601384226535447,2.1788690090179443,0.8584614992141724,350,0.2,0.1,0.0030758963,1e-05
27.745319366455078,443,4849664,10933,37,649.13,0.1220428466796875,0.06676732003688812,30.992369289696217,-0.0018499273137422279,0.623425169987604,2.264997959136963,0.8486142158508301,360,0.2,0.1,0.0030921842,1e-05
30.46404457092285,455,4980736,10929,38,714.06,0.12187347412109376,0.06731189042329788,30.795119397342205,-0.0021533920235924596,0.6187518873019144,2.202026844024658,0.8555034399032593,370,0.2,0.1,0.0031045857,1e-05
30.11883544921875,467,5111808,10934,39,698.24,0.12115478515625,0.06785723567008972,30.600772845745087,-0.0018431810204674547,0.6119280846323818,2.149331569671631,0.8486468195915222,380,0.2,0.1,0.0030239355,1e-05
29.18227767944336,479,5242880,10940,40,677.86,0.11980361938476562,0.06842590123414993,30.40379142165184,-0.0018198951463091362,0.6338551663793623,2.0800187587738037,0.8343355059623718,390,0.2,0.1,0.0030797587,1e-05
29.479459762573242,490,5373952,10945,41,685.1,0.12104949951171876,0.0689803808927536,30.207028420269488,-0.0020672072181696422,0.5882108287885786,2.135591983795166,0.8569332361221313,400,0.2,0.1,0.003053791,1e-05
28.23809051513672,502,5505024,10949,42,656.18,0.12047805786132812,0.06953950226306915,30.013416799902917,-0.001908256387559959,0.609299544012174,2.146322011947632,0.8552008867263794,410,0.2,0.1,0.0030614429,1e-05
27.5877685546875,514,5636096,10952,43,643.01,0.118646240234375,0.07010748982429504,29.818331289291383,-0.0018488079108465172,0.5859949379693716,2.0869545936584473,0.8588761687278748,420,0.2,0.1,0.0030255083,1e-05
27.0551815032959,526,5767168,10955,44,629.46,0.12009124755859375,0.0706779807806015,29.624017409980297,-0.0018873579955652532,0.6312836172524839,1.9928901195526123,0.8645126819610596,430,0.2,0.1,0.0030248584,1e-05
27.0300350189209,538,5898240,10949,45,626.74,0.11765060424804688,0.07125420868396759,29.429035595059396,-0.002015198507797322,0.6090309236664325,2.013270139694214,0.8688718676567078,440,0.2,0.1,0.003016247,1e-05
