time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/learning_rate,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/std,train/clip_range_vf,train/approx_kl,train/clip_fraction
11047,8388608,566.01,759,23.23918914794922,64,1.7668497562408447,25.75213441103697,0.1,630,1e-05,0.5420209438307211,0.8973483443260193,-0.0020700285728707966,0.08304659277200699,0.2,0.0028983233,0.11004409790039063
11044,8519680,559.56,771,23.134410858154297,65,1.8202476501464844,25.558508343994617,0.1,640,1e-05,0.5506861014291644,0.8911250233650208,-0.002035042714578594,0.08372138440608978,0.2,0.0029330296,0.11141357421875
11043,8650752,555.19,783,23.081707000732422,66,1.8205678462982178,25.35978651791811,0.1,650,1e-05,0.5394315729383379,0.895287275314331,-0.00228657720672345,0.08442646265029907,0.2,0.003012001,0.11162948608398438
11045,8781824,525.53,795,21.536962509155273,67,1.780113697052002,25.160491025447847,0.1,660,1e-05,0.5486960092792288,0.895343542098999,-0.002111852914640622,0.08512630313634872,0.2,0.0028592125,0.10917892456054687
11046,8912896,532.06,806,21.89379119873047,68,1.8044085502624512,24.96632254421711,0.1,670,1e-05,0.5557201967108995,0.8918774127960205,-0.0018800068050950358,0.08581100404262543,0.2,0.0028360765,0.10658111572265624
11045,9043968,567.4,818,23.39385223388672,69,1.7333228588104248,24.770772010087967,0.1,680,1e-05,0.5439835692523047,0.8908712267875671,-0.0020742144726682453,0.08651815354824066,0.2,0.0029705912,0.11230087280273438
11045,9175040,560.05,830,23.047277450561523,70,1.7714802026748657,24.576472498476505,0.1,690,1e-05,0.5487195465480909,0.890709400177002,-0.002156742530314659,0.08721624314785004,0.2,0.0028380824,0.11012802124023438
11048,9306112,568.0,842,23.388235092163086,71,1.7972044944763184,24.38332353383303,0.1,700,1e-05,0.5553875760175288,0.8887579441070557,-0.002388743624487688,0.08791959285736084,0.2,0.002953863,0.11304779052734375
11049,9437184,595.14,854,24.351823806762695,72,1.825697660446167,24.1885567009449,0.1,710,1e-05,0.5213269254891202,0.8943880796432495,-0.0022260987698246026,0.08864321559667587,0.2,0.0029309741,0.10905990600585938
11052,9568256,558.9,865,23.24481201171875,73,1.728123664855957,23.992213900387288,0.1,720,1e-05,0.5500177691457793,0.8920662999153137,-0.0019688045643306397,0.0893702432513237,0.2,0.0028328616,0.10583953857421875
11053,9699328,549.58,877,22.286178588867188,74,1.7292609214782715,23.79567540436983,0.1,730,1e-05,0.545470887515694,0.8872663378715515,-0.0020741253674714244,0.09010821580886841,0.2,0.0028459579,0.10721893310546875
11054,9830400,540.67,889,22.15581703186035,75,1.6823612451553345,23.596866683661936,0.1,740,1e-05,0.5004045170964673,0.9011869430541992,-0.002262526810318377,0.09085901826620102,0.2,0.002901809,0.10793533325195312
11055,9961472,538.87,901,22.233835220336914,76,1.708012342453003,23.40040390342474,0.1,750,1e-05,0.5350944330217317,0.8981610536575317,-0.0022674164902127814,0.09159889072179794,0.2,0.0029132946,0.11011123657226562
