rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,train/clip_range,train/approx_kl,train/adaptive_lr,train/value_loss,train/clip_range_vf,train/n_updates,train/std,train/loss,train/entropy_loss,train/learning_rate,train/explained_variance,train/policy_gradient_loss
14.543985366821289,362.79,24903680,190,1895,13140,0.24021148681640625,0.1,0.0045539094,5e-05,0.6065004831179976,0.2,4950,0.18362024426460266,0.5928803086280823,6.931886832788587,5e-05,0.8956767320632935,-0.0023900698345642015
14.35719108581543,361.63,25034752,191,1895,13210,0.233953857421875,0.1,0.0044137836,5e-05,0.6606995892943814,0.2,4960,0.18420587480068207,0.6933075189590454,6.854563629627227,5e-05,0.8832070231437683,-0.0016734392856051273
14.239632606506348,360.08,25165824,192,1895,13279,0.24022598266601564,0.1,0.0045539504,5e-05,0.664479065570049,0.2,4970,0.1847652643918991,0.7573241591453552,6.775795248150826,5e-05,0.8823064565658569,-0.0019161638368586863
14.48127555847168,364.44,25296896,193,1894,13349,0.24460830688476562,0.1,0.0046407897,5e-05,0.6516746412962675,0.2,4980,0.18538622558116913,0.6738966703414917,6.694384159520268,5e-05,0.8848339915275574,-0.002054228194879215
13.849862098693848,343.15,25427968,194,1894,13419,0.24508743286132811,0.1,0.004636896,5e-05,0.6281930354889482,0.2,4990,0.18604505062103271,0.6427342891693115,6.607915865629911,5e-05,0.8887725472450256,-0.002248626065920689
14.116215705871582,362.67,25559040,195,1894,13489,0.23544540405273437,0.1,0.0043807225,5e-05,0.7004100738093257,0.2,5000,0.18664205074310303,0.8170182704925537,6.525386995822191,5e-05,0.8709715008735657,-0.001877804560945151
13.883685111999512,356.43,25690112,196,1894,13558,0.23850555419921876,0.1,0.0045735594,5e-05,0.6717256567673757,0.2,5010,0.18723274767398834,0.7531946897506714,6.446423668414354,5e-05,0.8768726587295532,-0.0019464750134829956
14.199694633483887,365.32,25821184,197,1894,13628,0.23475875854492187,0.1,0.0045016473,5e-05,0.727721224585548,0.2,5020,0.1878366470336914,0.774636447429657,6.365744791552425,5e-05,0.864120602607727,-0.001732479532074649
14.172691345214844,352.87,25952256,198,1894,13698,0.2383392333984375,0.1,0.0046183374,5e-05,0.646733389631845,0.2,5030,0.18844951689243317,0.6100004315376282,6.285245183855295,5e-05,0.876812756061554,-0.0019369334079783584
13.820374488830566,353.39,26083328,199,1894,13767,0.24009323120117188,0.1,0.0046288883,5e-05,0.6247846973827109,0.2,5040,0.18909087777137756,0.7225512862205505,6.199624191597104,5e-05,0.8769406080245972,-0.002013512723397071
