time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,train/value_loss,train/policy_gradient_loss,train/clip_range,train/loss,train/clip_range_vf,train/learning_rate,train/explained_variance,train/std,train/n_updates,train/clip_fraction,train/entropy_loss,train/approx_kl
5111808,1964,2602,959.23,43.77146911621094,39,0.7605534724192694,-0.0023722224322227704,0.1,1.0310378074645996,0.2,5e-06,0.4619531035423279,0.17618019878864288,2110,0.07478713989257812,7.670786071941256,0.0021857116
5242880,2014,2602,952.91,43.58429718017578,40,0.8298342540860176,-0.0020636711382394425,0.1,1.227507472038269,0.2,5e-06,0.3954615592956543,0.17698611319065094,2120,0.06791763305664063,7.559855940937996,0.0020557947
5373952,2065,2602,958.18,43.846134185791016,41,0.7681588154984638,-0.0023304314855522533,0.1,1.3016984462738037,0.2,5e-06,0.4553309679031372,0.17782707512378693,2130,0.0681121826171875,7.448127934336663,0.0021104524
5505024,2116,2601,949.08,43.76328659057617,42,0.8216085074236616,-0.0023760627468618623,0.1,1.16942298412323,0.2,5e-06,0.5072579383850098,0.17863506078720093,2140,0.07158737182617188,7.336793778836727,0.0021153863
5636096,2166,2601,955.7,43.6998405456543,43,0.7750072296243161,-0.002338797003039872,0.1,1.1355918645858765,0.2,5e-06,0.4591944217681885,0.17948810756206512,2150,0.07117691040039062,7.22495082244277,0.002121841
5767168,2217,2600,954.1,43.778839111328125,44,0.8435256222030147,-0.002148932623094879,0.1,1.0950794219970703,0.2,5e-06,0.42767149209976196,0.18031840026378632,2160,0.06783905029296874,7.112518687546253,0.0020415513
5898240,2268,2600,963.53,44.33536148071289,45,0.7224186173640191,-0.00238181040569998,0.1,1.068962812423706,0.2,5e-06,0.41298699378967285,0.1811491698026657,2170,0.07729034423828125,7.0019685830920935,0.0022523012
6029312,2318,2600,938.51,43.273006439208984,46,0.8807187241734937,-0.002329777451723203,0.1,1.1509253978729248,0.2,5e-06,0.30112600326538086,0.1819889098405838,2180,0.07573928833007812,6.891191482543945,0.0021796355
6160384,2369,2600,957.07,44.35050964355469,47,0.7581017320742831,-0.002297587617977115,0.1,1.2325307130813599,0.2,5e-06,0.36960452795028687,0.1828373819589615,2190,0.07423477172851563,6.780130214616657,0.0021616486
6291456,2419,2600,940.92,43.389122009277344,48,0.8652292908169329,-0.0022871543301334896,0.1,1.055251121520996,0.2,5e-06,0.44881147146224976,0.1836952567100525,2200,0.0700897216796875,6.668089402467013,0.0020871507
6422528,2470,2600,987.11,45.918556213378906,49,0.7712993664201349,-0.002366247877898786,0.1,0.9695264101028442,0.2,5e-06,0.4262685775756836,0.18455640971660614,2210,0.07429351806640624,6.555867048352956,0.002167494
6553600,2520,2600,975.22,45.051944732666016,50,0.8465148942545057,-0.0023502973118866067,0.1,0.9208292961120605,0.2,5e-06,0.3076619505882263,0.18543332815170288,2220,0.07392807006835937,6.442722725495696,0.0022104336
6684672,2570,2600,959.07,44.46292495727539,51,0.7906174225499853,-0.0021116209729370892,0.1,1.2683277130126953,0.2,5e-06,0.3569740056991577,0.18630068004131317,2230,0.06724624633789063,6.330082335695624,0.0020907116
6815744,2621,2599,958.4,44.21583938598633,52,0.8608573159435764,-0.002108017980299337,0.1,1.1590049266815186,0.2,5e-06,0.3862319588661194,0.187169149518013,2240,0.0654022216796875,6.21805437207222,0.002088955
6946816,2671,2600,959.58,44.28664016723633,53,0.753601556434296,-0.0025560992764440014,0.1,1.1997601985931396,0.2,5e-06,0.44080138206481934,0.18804527819156647,2250,0.0797943115234375,6.10633986480534,0.0022843997
7077888,2722,2600,973.33,45.36805725097656,54,0.8673080639448016,-0.0022980847471444576,0.1,1.3880618810653687,0.2,5e-06,0.4101583957672119,0.18889941275119781,2260,0.0693572998046875,5.996069340035319,0.0021145577
7208960,2772,2599,986.53,45.922813415527344,55,0.7576424723723904,-0.002314875372303504,0.1,1.1430060863494873,0.2,5e-06,0.33298611640930176,0.1898127794265747,2270,0.0727447509765625,5.88334944024682,0.0021187528
7340032,2823,2599,933.32,43.07285690307617,56,0.8699214417953044,-0.0021470645205226902,0.1,1.0130584239959717,0.2,5e-06,0.31030571460723877,0.19070707261562347,2280,0.06721954345703125,5.769300033524632,0.0020946488
7471104,2873,2599,921.82,42.60989761352539,57,0.810202072467655,-0.0022122123137705784,0.1,1.0612558126449585,0.2,5e-06,0.5051209926605225,0.19157928228378296,2290,0.06725616455078125,5.658317833766342,0.0020884008
7602176,2924,2599,972.58,45.21063995361328,58,0.8456969782011583,-0.0021439144971282078,0.1,0.9542436599731445,0.2,5e-06,0.47948020696640015,0.19245679676532745,2300,0.06418838500976562,5.548671351745725,0.0020345533
7733248,2974,2599,942.52,43.53096008300781,59,0.7712606175104156,-0.002019544914492144,0.1,1.1485462188720703,0.2,5e-06,0.34612876176834106,0.1933179348707199,2310,0.06550140380859375,5.4403631899505855,0.0020617652
7864320,3025,2599,964.97,45.083831787109375,60,0.8886091755935922,-0.00228268163004941,0.1,1.1681309938430786,0.2,5e-06,0.4167267680168152,0.19422046840190887,2320,0.07359542846679687,5.330469086021185,0.0021163626
7995392,3075,2599,983.2,45.95329284667969,61,0.7492370814317837,-0.002385798389059346,0.1,0.6143823862075806,0.2,5e-06,0.2943488359451294,0.19513696432113647,2330,0.07898025512695313,5.218248774111271,0.0022887136
8126464,3126,2599,963.76,44.77586364746094,62,0.9148605208378285,-0.0022254263833929146,0.1,1.073798656463623,0.2,5e-06,0.34228450059890747,0.1960504651069641,2340,0.0678436279296875,5.105727100372315,0.0020713184
8257536,3176,2599,973.47,45.60566329956055,63,0.729924569814466,-0.0023974927345079776,0.1,0.7847045063972473,0.2,5e-06,0.33036530017852783,0.19697780907154083,2350,0.07915573120117188,4.993064120039344,0.0022603278
8388608,3227,2599,972.45,45.485557556152344,64,0.9238555235788226,-0.0022207897114185473,0.1,1.2469892501831055,0.2,5e-06,0.27401357889175415,0.19789539277553558,2360,0.06606216430664062,4.880922027304768,0.0020734747
8519680,3277,2599,982.74,45.925750732421875,65,0.7302302209893241,-0.002282675638434739,0.1,0.9681519865989685,0.2,5e-06,0.3745654225349426,0.19881759583950043,2370,0.07331619262695313,4.769329859316349,0.0022054748
8650752,3327,2599,963.57,44.8817024230957,66,0.9251581464894116,-0.0021121617811786565,0.1,1.0132644176483154,0.2,5e-06,0.22906088829040527,0.19971871376037598,2380,0.06648483276367187,4.6592845596373085,0.0021110256
8781824,3378,2599,974.37,45.509273529052734,67,0.7615122663555667,-0.0023552043131076063,0.1,0.7958159446716309,0.2,5e-06,0.3561640977859497,0.20065365731716156,2390,0.06987152099609376,4.548787782713771,0.0021174531
8912896,3429,2599,964.12,45.2812385559082,68,0.8953206141013652,-0.0023518269451415106,0.1,1.245694875717163,0.2,5e-06,0.31585758924484253,0.20158517360687256,2400,0.07478561401367187,4.437130860239267,0.0022058585
