time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/policy_gradient_loss,train/value_loss,train/clip_range_vf,train/loss,train/explained_variance,train/n_updates,train/std,train/entropy_loss,train/clip_range,train/clip_fraction,train/approx_kl,train/learning_rate
472,5373952,27.2325496673584,41,743.43,11377,-0.0014807151880631864,0.5002419533906505,0.2,1.8565796613693237,0.7980419993400574,400,0.06993614882230759,29.88828616887331,0.1,0.14535293579101563,0.00358755,1e-05
483,5505024,26.1767578125,42,719.21,11381,-0.0009453846363612683,0.6156360811321064,0.2,2.100111246109009,0.7581158876419067,410,0.070540651679039,29.678587843477725,0.1,0.132672119140625,0.003353456,1e-05
495,5636096,26.4444580078125,43,736.12,11378,-0.0012396461881508003,0.5128669064957648,0.2,1.897847056388855,0.8180984854698181,420,0.07114321738481522,29.474390709400176,0.1,0.1331207275390625,0.003243735,1e-05
506,5767168,26.096363067626953,44,721.58,11376,-0.0015883943433436798,0.5719869188731537,0.2,1.9275926351547241,0.805244505405426,430,0.07175984233617783,29.268305365741252,0.1,0.14263687133789063,0.0036474261,1e-05
518,5898240,27.94342613220215,45,763.8,11370,-0.001354975494541577,0.5126060889917425,0.2,1.8813626766204834,0.8061991333961487,440,0.07238715887069702,29.06003908216953,0.1,0.134869384765625,0.0034474381,1e-05
530,6029312,27.701391220092773,46,763.46,11370,-0.0010479105987542426,0.5664646107936278,0.2,2.235102653503418,0.7671663761138916,450,0.073011115193367,28.85248602181673,0.1,0.13550262451171874,0.0033068685,1e-05
541,6160384,22.962890625,47,652.39,11366,-0.001248286435384216,0.5230059911264107,0.2,2.0846710205078125,0.8016582131385803,460,0.07364711165428162,28.64605087786913,0.1,0.13758163452148436,0.003450525,1e-05
553,6291456,25.849803924560547,48,711.72,11370,-0.0012982842611563683,0.5975650585489347,0.2,1.867119550704956,0.8122598528862,470,0.07428956776857376,28.437105913460254,0.1,0.13011093139648439,0.0033477554,1e-05
565,6422528,26.121925354003906,49,715.15,11366,-0.0011907584719665465,0.47279508896172046,0.2,1.9321255683898926,0.7872970104217529,480,0.07493837922811508,28.228592078387738,0.1,0.13441238403320313,0.0033844481,1e-05
576,6553600,26.541519165039062,50,731.55,11360,-0.0014552790669768,0.5723732898710295,0.2,1.9023857116699219,0.7898673415184021,490,0.07559129595756531,28.019706270098688,0.1,0.1387359619140625,0.003439447,1e-05
588,6684672,27.881010055541992,51,765.72,11358,-0.0013512704630556983,0.5256922772852703,0.2,1.8355015516281128,0.811016321182251,500,0.0762748271226883,27.807816511392595,0.1,0.13377761840820312,0.0034134674,1e-05
600,6815744,26.062515258789062,52,722.65,11353,-0.001306324604047404,0.5450015684822574,0.2,2.0010554790496826,0.7777032256126404,510,0.07693411409854889,27.596867479383945,0.1,0.13671646118164063,0.003455426,1e-05
612,6946816,26.96076202392578,53,740.32,11350,-0.0011234259050979744,0.5677430744515732,0.2,1.8201271295547485,0.7913097143173218,520,0.0776001363992691,27.390043689310552,0.1,0.13044967651367187,0.003326959,1e-05
623,7077888,26.186809539794922,54,729.4,11351,-0.001309503217362362,0.5367305140243843,0.2,1.7924914360046387,0.8091871738433838,530,0.07826461642980576,27.184969821572302,0.1,0.1360748291015625,0.0034275167,1e-05
635,7208960,29.477760314941406,55,808.19,11352,-0.0013523511412131483,0.5786280362168327,0.2,1.8719379901885986,0.8000333905220032,540,0.07894609868526459,26.97796607017517,0.1,0.134521484375,0.0034213092,1e-05
646,7340032,26.31475257873535,56,736.54,11348,-0.0011953846175856598,0.512383010610938,0.2,1.885986089706421,0.8005384802818298,550,0.07961858808994293,26.772648429870607,0.1,0.13030471801757812,0.0033486844,1e-05
658,7471104,30.93960189819336,57,843.3,11349,-0.0014070505487325136,0.585331148491241,0.2,1.8385320901870728,0.8020609617233276,560,0.0803147703409195,26.565728192031383,0.1,0.13233871459960939,0.003355223,1e-05
670,7602176,23.27605438232422,58,658.92,11345,-0.0015338713385972369,0.4681453596567735,0.2,1.6792283058166504,0.7943767309188843,570,0.08102037757635117,26.356801050901414,0.1,0.135919189453125,0.003498811,1e-05
681,7733248,25.11074447631836,59,707.04,11346,-0.0011917182170691377,0.5788684458471834,0.2,1.86348557472229,0.7880750894546509,580,0.08172748982906342,26.14725870937109,0.1,0.12750244140625,0.0032639026,1e-05
693,7864320,27.9525146484375,60,772.48,11343,-0.0013347640855499777,0.5229165029944852,0.2,1.8627665042877197,0.8013193607330322,590,0.08243061602115631,25.940646634995936,0.1,0.1301666259765625,0.0033114892,1e-05
704,7995392,25.105680465698242,61,710.07,11345,-0.0013553712698922027,0.5323897401569411,0.2,1.6828978061676025,0.7821332812309265,600,0.08315756916999817,25.73162819892168,0.1,0.13648681640625,0.0034449687,1e-05
716,8126464,27.630659103393555,62,765.04,11340,-0.0010646260885550872,0.5439708224963397,0.2,1.8630397319793701,0.7939761281013489,610,0.08387182652950287,25.52480482459068,0.1,0.12835617065429689,0.003304103,1e-05
728,8257536,27.255327224731445,63,762.89,11340,-0.0014418966151424684,0.5441907744854688,0.2,1.622534990310669,0.7868639230728149,620,0.08463229984045029,25.31278695911169,0.1,0.130108642578125,0.0034235306,1e-05
740,8388608,26.11095428466797,64,728.72,11334,-0.001551883225874917,0.5326413671020418,0.2,1.787471055984497,0.7898309230804443,630,0.0853700339794159,25.10096415132284,0.1,0.13213882446289063,0.0033540416,1e-05
751,8519680,25.75537109375,65,729.17,11331,-0.0013077494364551966,0.5432164323981852,0.2,1.745061993598938,0.8051388263702393,640,0.08609358966350555,24.895956690609456,0.1,0.12623825073242187,0.00321511,1e-05
763,8650752,28.32146644592285,66,774.96,11332,-0.0013598848581750644,0.5510785316582769,0.2,1.8017616271972656,0.809225857257843,650,0.08682772517204285,24.692352011799812,0.1,0.13024978637695311,0.003357037,1e-05
775,8781824,28.07516098022461,67,768.67,11330,-0.0013836247175277095,0.5055342206265777,0.2,1.7827141284942627,0.7692434787750244,660,0.08762089908123016,24.48060635179281,0.1,0.12808685302734374,0.0034406364,1e-05
786,8912896,27.521442413330078,68,757.48,11332,-0.0011636777675448685,0.5511700904695317,0.2,1.6934857368469238,0.7569813132286072,670,0.08837991207838058,24.2689786657691,0.1,0.1293243408203125,0.0032885228,1e-05
798,9043968,26.74167251586914,69,754.18,11328,-0.0012554731873024138,0.5346751754172147,0.2,1.7320575714111328,0.7950563430786133,680,0.08915512263774872,24.060969568789005,0.1,0.12771835327148437,0.0033025558,1e-05
810,9175040,25.81848907470703,70,725.01,11325,-0.0016738886862185608,0.5525138981174678,0.2,1.8511897325515747,0.8013445138931274,690,0.08995001018047333,23.849082773923875,0.1,0.1331817626953125,0.0034541932,1e-05
821,9306112,27.382001876831055,71,767.48,11324,-0.0016226121810177575,0.5226017396198586,0.2,1.607813835144043,0.81658536195755,700,0.09072660654783249,23.639781630039217,0.1,0.1315643310546875,0.00332376,1e-05
833,9437184,29.538148880004883,72,812.28,11321,-0.0012861008015534025,0.5406228497391566,0.2,1.7911726236343384,0.7837986946105957,710,0.09151597321033478,23.432248467206954,0.1,0.12752532958984375,0.0033204341,1e-05
844,9568256,26.657758712768555,73,750.92,11324,-0.001607772440820554,0.5403442455921322,0.2,1.7521843910217285,0.7591153979301453,720,0.09234398603439331,23.21953950673342,0.1,0.13666763305664062,0.0034876699,1e-05
856,9699328,25.672985076904297,74,723.18,11324,-0.0015641055143532866,0.568597199767828,0.2,1.694872498512268,0.7922717928886414,730,0.0931611880660057,23.006903441250323,0.1,0.1231414794921875,0.0032530054,1e-05
867,9830400,27.380971908569336,75,761.8,11326,-0.001559802800511534,0.48686828576028346,0.2,1.777024269104004,0.7899786829948425,740,0.09396935999393463,22.797506511211395,0.1,0.13369064331054686,0.0033870353,1e-05
879,9961472,27.081552505493164,76,754.58,11323,-0.0011806938648987852,0.5877208412159234,0.2,1.7770099639892578,0.7615118026733398,750,0.09478843212127686,22.589174354076384,0.1,0.12306442260742187,0.0032377723,1e-05
891,10092544,27.697080612182617,77,768.65,11323,-0.0016324341590006953,0.5227165690623223,0.2,1.5577852725982666,0.8097869157791138,760,0.09560178965330124,22.38322517722845,0.1,0.13156814575195314,0.0033270675,1e-05
903,10223616,24.615234375,78,706.79,11321,-0.0014473183348854945,0.5421283331234008,0.2,1.5780211687088013,0.805483341217041,770,0.09642880409955978,22.177032051980497,0.1,0.1257476806640625,0.003206287,1e-05
914,10354688,25.664440155029297,79,734.81,11323,-0.0013066468034594436,0.4949976642616093,0.2,1.3966500759124756,0.8195438385009766,780,0.09726875275373459,21.9693671643734,0.1,0.12040481567382813,0.0032196348,1e-05
925,10485760,29.002962112426758,80,793.78,11324,-0.0012487154007430946,0.530397403310053,0.2,1.3687102794647217,0.8112123012542725,790,0.09811430424451828,21.761293022334577,0.1,0.12536544799804689,0.003269984,1e-05
937,10616832,28.892091751098633,81,802.24,11327,-0.0011786370342633744,0.5080369927221909,0.2,1.5474064350128174,0.7298734784126282,800,0.09897273778915405,21.55260899811983,0.1,0.12650985717773439,0.0033398177,1e-05
948,10747904,24.295190811157227,82,693.41,11327,-0.001308974232597393,0.5663087180349976,0.2,1.554626703262329,0.7521024942398071,810,0.09983199834823608,21.344363933801652,0.1,0.12386932373046874,0.0032287384,1e-05
