time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/loss,train/std,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/value_loss,train/approx_kl
6029312,11168,566.92,20.19219207763672,46,539,1980,0.004895782470703125,0.1,-0.001251909738948598,1e-06,0.8342347145080566,0.18431448936462402,0.8653347492218018,0.2,6.545538736134768,0.5373210326069966,0.0008645061
6160384,11159,525.51,18.831405639648438,47,552,1990,0.006372833251953125,0.1,-0.0012876988214884477,1e-06,0.9170950651168823,0.1844915747642517,0.8609017133712769,0.2,6.522683053463697,0.5817797151859849,0.000893753
6291456,11153,524.11,18.571874618530273,48,564,2000,0.005020904541015625,0.1,-0.0012083713974789135,1e-06,0.7753944993019104,0.18466797471046448,0.8708980679512024,0.2,6.499726819992065,0.5705308334203437,0.0008133469
6422528,11157,587.34,21.323143005371094,49,575,2010,0.00350799560546875,0.1,-0.0012178627858702384,1e-06,0.8789143562316895,0.18484239280223846,0.8775720000267029,0.2,6.476923613622785,0.5541260490892455,0.00080393674
6553600,11168,613.83,22.848072052001953,50,586,2020,0.008429718017578126,0.1,-0.0012538145302642078,1e-06,1.0405607223510742,0.18501603603363037,0.8582972288131714,0.2,6.454317154362798,0.5771720737917349,0.00093601464
6684672,11173,673.17,24.953527450561523,51,598,2030,0.007115936279296875,0.1,-0.0012504178687777312,1e-06,0.8116309642791748,0.18519121408462524,0.8624832034111023,0.2,6.43170367218554,0.5455868893535808,0.00089552643
6815744,11183,557.31,19.879602432250977,52,609,2040,0.00374603271484375,0.1,-0.0012422867828718153,1e-06,0.9142686128616333,0.18536922335624695,0.8582620620727539,0.2,6.40881316177547,0.6219282544916496,0.0008100509
6946816,11192,636.68,23.143362045288086,53,620,2050,0.005028533935546875,0.1,-0.001222820816656167,1e-06,0.7583001852035522,0.1855452060699463,0.8713417053222656,0.2,6.385893053933978,0.5078060204396024,0.00086170214
7077888,11202,598.35,21.732372283935547,54,631,2060,0.0059417724609375,0.1,-0.001266385242524848,1e-06,0.8608757257461548,0.18571750819683075,0.8641340732574463,0.2,6.3633979927748445,0.5542182616889477,0.0009117677
7208960,11213,642.35,23.603130340576172,55,642,2070,0.002664947509765625,0.1,-0.001065330379333318,1e-06,1.0180798768997192,0.1858939826488495,0.8437594175338745,0.2,6.340857902541757,0.5824982933932915,0.00072394166
