time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/entropy_loss,train/approx_kl,train/value_loss,train/std,train/n_updates,train/learning_rate,train/adaptive_lr,train/loss,train/clip_range_vf,train/clip_range
4095,63,523.95,8257536,20.340970993041992,2016,0.0007314255536584824,0.23854751586914064,0.9141912460327148,34.451526230573656,0.0054690978,0.43666126518510284,0.06104857102036476,620,5e-05,5e-05,0.8726577162742615,0.2,0.1
4161,64,486.73,8388608,19.03338623046875,2015,0.00044000614175274675,0.2388153076171875,0.9103789329528809,34.354304268956184,0.005506185,0.451369588682428,0.06129016354680061,630,5e-05,5e-05,0.792084276676178,0.2,0.1
4225,65,491.59,8519680,18.873783111572266,2016,0.00047775245889170037,0.23616256713867187,0.9175474643707275,34.256476503610614,0.005545783,0.43824722317513076,0.06152774766087532,640,5e-05,5e-05,0.8211315870285034,0.2,0.1
4290,66,515.45,8650752,19.914344787597656,2016,0.0004420044028393022,0.2358245849609375,0.9221274256706238,34.157655966281894,0.005567737,0.4243011793587357,0.061774082481861115,650,5e-05,5e-05,0.741624653339386,0.2,0.1
4355,67,526.32,8781824,20.46058464050293,2016,0.00021845538383331587,0.23563156127929688,0.9184923768043518,34.06832592487335,0.0055798576,0.4524658658076078,0.06198927387595177,660,5e-05,5e-05,0.7983534336090088,0.2,0.1
4420,68,517.38,8912896,20.125694274902344,2016,0.0005632379367398243,0.22659378051757811,0.9223713874816895,33.98674381673336,0.0054000616,0.4144695316674188,0.062192343175411224,670,5e-05,5e-05,0.8044613003730774,0.2,0.1
4484,69,516.7,9043968,19.830036163330078,2016,0.0004124865074572881,0.22880859375,0.9202253222465515,33.89253280758858,0.0054890416,0.42197920980397613,0.0624307245016098,680,5e-05,5e-05,0.7397772073745728,0.2,0.1
4550,70,497.93,9175040,19.288698196411133,2016,0.0005424047733868064,0.22615280151367187,0.9239234924316406,33.81405442357063,0.005195463,0.4116374554578215,0.06261720508337021,690,5e-05,5e-05,0.7505226731300354,0.2,0.1
4615,71,490.37,9306112,18.916913986206055,2016,-9.352896131531453e-06,0.23785400390625,0.928307294845581,33.72641250789165,0.0054595377,0.3861838794779032,0.0628429502248764,700,5e-05,5e-05,0.7864899635314941,0.2,0.1
4680,72,490.55,9437184,18.814233779907227,2016,0.0002970776882648352,0.23762359619140624,0.9280624985694885,33.63768235445023,0.0056450954,0.4031245479825884,0.06306587159633636,710,5e-05,5e-05,0.7724952697753906,0.2,0.1
4745,73,477.69,9568256,18.43183135986328,2016,0.0003650311904038972,0.24015350341796876,0.9284393191337585,33.55092494487762,0.005521984,0.4134735347703099,0.0632835179567337,720,5e-05,5e-05,0.7844678163528442,0.2,0.1
4810,74,482.54,9699328,18.709457397460938,2016,0.00029165978853598065,0.23492660522460937,0.9204201102256775,33.46051223278046,0.0054098433,0.43725696778856216,0.063515305519104,730,5e-05,5e-05,0.7447535395622253,0.2,0.1
4875,75,476.1,9830400,18.197608947753906,2016,0.00034294782512915843,0.231597900390625,0.9185801148414612,33.37137673199177,0.005310974,0.45340730822645126,0.06373925507068634,740,5e-05,5e-05,0.775434672832489,0.2,0.1
4941,76,485.14,9961472,18.45749282836914,2015,0.0003882644354689546,0.23103103637695313,0.9197744131088257,33.28705157637596,0.005441186,0.4574433773057535,0.06395894289016724,750,5e-05,5e-05,0.849394679069519,0.2,0.1
5006,77,494.89,10092544,18.996089935302734,2015,0.000158567520975339,0.2303680419921875,0.9203107357025146,33.20579871535301,0.0052523226,0.43002789590973406,0.06416043639183044,760,5e-05,5e-05,0.7873778343200684,0.2,0.1
5071,78,514.05,10223616,19.411884307861328,2015,0.0002541972246945079,0.23050689697265625,0.9183861613273621,33.11935920715332,0.0052864635,0.42335249164607375,0.06438683718442917,770,5e-05,5e-05,0.7495580911636353,0.2,0.1
5137,79,503.34,10354688,19.22667694091797,2015,0.00013853459981874038,0.23328781127929688,0.9223536252975464,33.03887409567833,0.0054440163,0.38952060425654056,0.06458605080842972,780,5e-05,5e-05,0.6757489442825317,0.2,0.1
5202,80,519.49,10485760,19.33843231201172,2015,-9.895784655782336e-05,0.23554000854492188,0.9254822134971619,32.94373463988304,0.0055811764,0.3700430700788274,0.06484640389680862,790,5e-05,5e-05,0.7311321496963501,0.2,0.1
5267,81,485.53,10616832,18.401657104492188,2015,7.322029516672046e-05,0.23889923095703125,0.9219069480895996,32.85172450840473,0.0054190597,0.40013229120522736,0.06508396565914154,800,5e-05,5e-05,0.7159732580184937,0.2,0.1
5332,82,511.77,10747904,19.454910278320312,2015,0.00012754725953527667,0.23397598266601563,0.923043966293335,32.76371646821499,0.005320916,0.4081441554473713,0.0653148964047432,810,5e-05,5e-05,0.739171028137207,0.2,0.1
5398,83,507.1,10878976,19.335247039794922,2015,1.6364407201763242e-05,0.23332672119140624,0.9215075969696045,32.6679716527462,0.0054551344,0.3906756852986291,0.06556010991334915,820,5e-05,5e-05,0.7207833528518677,0.2,0.1
5463,84,525.39,11010048,20.19036865234375,2015,-0.00016556342325202422,0.233203125,0.9213547110557556,32.5788687556982,0.0053121457,0.4014541002456099,0.06579215824604034,830,5e-05,5e-05,0.6567858457565308,0.2,0.1
5529,85,508.57,11141120,19.62932777404785,2014,0.0001492789091571467,0.225,0.9151714444160461,32.4972669929266,0.005133673,0.3970971911912784,0.06600281596183777,840,5e-05,5e-05,0.7215374112129211,0.2,0.1
5596,86,547.24,11272192,21.035566329956055,2014,-6.997893306106561e-05,0.2277374267578125,0.9197117686271667,32.41059501171112,0.0051365737,0.39109826744534076,0.06623303890228271,850,5e-05,5e-05,0.6709709763526917,0.2,0.1
5662,87,562.77,11403264,21.412124633789062,2013,4.5071525801176906e-05,0.22311859130859374,0.9168079495429993,32.331913927197455,0.0052994704,0.41970762168057263,0.0664437785744667,860,5e-05,5e-05,0.6650068163871765,0.2,0.1
5727,88,503.22,11534336,19.269641876220703,2013,-0.00012227001825522167,0.23494110107421876,0.920749306678772,32.246362233161925,0.0054916777,0.42803425029851494,0.06667447835206985,870,5e-05,5e-05,0.6833314895629883,0.2,0.1
5792,89,513.55,11665408,19.5664005279541,2013,-0.00016181320461328141,0.23012008666992187,0.9215381741523743,32.16276700794697,0.005492241,0.4213208408327773,0.06689862161874771,880,5e-05,5e-05,0.6905885934829712,0.2,0.1
5858,90,485.45,11796480,18.812360763549805,2013,-0.00013305490183483925,0.23392257690429688,0.9169692993164062,32.074296376109125,0.0056134937,0.45110898290295154,0.06713491678237915,890,5e-05,5e-05,0.7572536468505859,0.2,0.1
5923,91,488.67,11927552,18.512535095214844,2013,-0.0001672203480211465,0.23134078979492187,0.9137400984764099,31.98433036506176,0.0053432873,0.48040623776614666,0.06737750768661499,900,5e-05,5e-05,0.8463184833526611,0.2,0.1
5987,92,495.31,12058624,18.821514129638672,2013,-0.00018333485759285394,0.23141403198242189,0.916222095489502,31.89186400473118,0.005545208,0.46930701001547276,0.06763594597578049,910,5e-05,5e-05,0.7159773111343384,0.2,0.1
6052,93,487.84,12189696,18.539146423339844,2013,-0.0003896380229889473,0.23243865966796876,0.9156909584999084,31.798258145153522,0.005408097,0.45711999738123266,0.0678839236497879,920,5e-05,5e-05,0.7199337482452393,0.2,0.1
6117,94,517.89,12320768,19.71829605102539,2013,-4.531239819698385e-05,0.22628555297851563,0.921215295791626,31.712829922139644,0.005159308,0.42022800736594945,0.06811650097370148,930,5e-05,5e-05,0.7878734469413757,0.2,0.1
6183,95,522.38,12451840,19.58670425415039,2013,-0.00047807650903450847,0.23178253173828126,0.9217990040779114,31.62686086446047,0.005392988,0.4096636689035222,0.0683409795165062,940,5e-05,5e-05,0.6681511402130127,0.2,0.1
6248,96,531.57,12582912,20.172754287719727,2013,-0.0004242301744852739,0.22806472778320314,0.9225661158561707,31.545390489697457,0.005325164,0.4044901499990374,0.06856684386730194,950,5e-05,5e-05,0.7204861640930176,0.2,0.1
6313,97,529.25,12713984,20.056381225585938,2013,-0.0005194616934204533,0.22708587646484374,0.9261524677276611,31.457394179701804,0.005333064,0.37504817235749216,0.06881166249513626,960,5e-05,5e-05,0.735541582107544,0.2,0.1
6378,98,540.42,12845056,20.73273277282715,2013,-0.00035238568189015495,0.22476959228515625,0.9251930713653564,31.374373230338097,0.0051076226,0.37030232560355214,0.06903756409883499,970,5e-05,5e-05,0.6330333948135376,0.2,0.1
6443,99,510.91,12976128,19.384422302246094,2013,-0.00036855646949334185,0.21965560913085938,0.9233226776123047,31.29480315744877,0.00515066,0.367691668914631,0.06925545632839203,980,5e-05,5e-05,0.6856969594955444,0.2,0.1
6508,100,537.29,13107200,20.140628814697266,2013,-9.859066904027713e-05,0.21794357299804687,0.9282032251358032,31.212419702112676,0.005023215,0.36211823830381035,0.06948377937078476,990,5e-05,5e-05,0.651718020439148,0.2,0.1
6574,101,517.37,13238272,19.69894027709961,2013,-0.0002826837614975375,0.22485885620117188,0.931776225566864,31.119012324512006,0.0053020506,0.3527341462671757,0.06975709646940231,1000,5e-05,5e-05,0.6888924837112427,0.2,0.1
6638,102,544.01,13369344,20.5178279876709,2013,-0.00038976449936853894,0.22326507568359374,0.928559422492981,31.029155732691287,0.005178507,0.3675820489414036,0.07000045478343964,1010,5e-05,5e-05,0.6403958797454834,0.2,0.1
6703,103,530.35,13500416,19.653892517089844,2013,-0.0004553114883492526,0.22589263916015626,0.9294523596763611,30.944257579743862,0.0050520822,0.35176047156564894,0.07023529708385468,1020,5e-05,5e-05,0.6750403642654419,0.2,0.1
6768,104,536.66,13631488,20.17282485961914,2013,-0.0007191377345861838,0.2254608154296875,0.9357226490974426,30.862463589012624,0.0051768837,0.33586341915652157,0.07046584784984589,1030,5e-05,5e-05,0.6311342716217041,0.2,0.1
6834,105,542.22,13762560,20.388654708862305,2013,-0.0003616635739490448,0.22557373046875,0.9297454953193665,30.772984486818313,0.005189458,0.3543154958868399,0.07071774452924728,1040,5e-05,5e-05,0.6828631162643433,0.2,0.1
6898,106,513.84,13893632,19.362558364868164,2013,-0.0004930405078084732,0.22805862426757811,0.9285885691642761,30.696811939775944,0.005059596,0.37564166614320127,0.07092786580324173,1050,5e-05,5e-05,0.7093208432197571,0.2,0.1
