time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,train/learning_rate,train/clip_fraction,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/std,train/explained_variance,train/clip_range,train/approx_kl,train/entropy_loss,train/clip_range_vf
6160384,818,834.84,39.43827819824219,7524,47,1e-06,0.030721282958984374,0.8225195407867432,-0.002235155228709118,0.6811124347150326,1990,0.06824088841676712,0.843837320804596,0.1,0.0013390813,31.64896149635315,0.2
6291456,835,873.23,41.092838287353516,7527,48,1e-06,0.03035125732421875,0.8521322011947632,-0.002184301197576133,0.6292281039757655,2000,0.06825809925794601,0.8387734889984131,0.1,0.0013222555,31.642161139845847,0.2
6422528,853,887.56,41.606502532958984,7529,49,1e-06,0.026728057861328126,0.9758202433586121,-0.001993415318065672,0.6785190183669328,2010,0.06827735900878906,0.8215306401252747,0.1,0.001272966,31.635494184494018,0.2
6553600,870,913.05,43.06611633300781,7532,50,1e-06,0.028936767578125,0.968583881855011,-0.002138302797038705,0.6671296857763082,2020,0.06829473376274109,0.8267077207565308,0.1,0.0012994813,31.62875669002533,0.2
6684672,887,916.55,43.404109954833984,7533,51,1e-06,0.0282623291015625,0.8528504371643066,-0.0020501135302765762,0.6851244893856346,2030,0.06831338256597519,0.7993055582046509,0.1,0.0013175848,31.62218788266182,0.2
6815744,904,838.9,39.70957946777344,7536,52,1e-06,0.025537109375,1.0567495822906494,-0.0019153253851527552,0.749281044001691,2040,0.06833150237798691,0.80494624376297,0.1,0.0012093263,31.615479798614977,0.2
6946816,921,867.41,40.597782135009766,7536,53,1e-06,0.024027252197265626,0.9739706516265869,-0.0020916630739520768,0.6294802896911278,2050,0.06834734231233597,0.8499138355255127,0.1,0.0012257409,31.60926249027252,0.2
7077888,938,851.44,39.789920806884766,7538,54,1e-06,0.025897216796875,0.9930554032325745,-0.0019848192952849784,0.6993889500154182,2060,0.06836539506912231,0.8551024794578552,0.1,0.0012383101,31.60304421633482,0.2
7208960,956,869.29,40.668617248535156,7537,55,1e-06,0.027935791015625,1.0425808429718018,-0.0021395868121089736,0.6551985712023451,2070,0.06838465481996536,0.8608719110488892,0.1,0.001269351,31.59622141569853,0.2
7340032,973,875.08,40.812015533447266,7540,56,1e-06,0.029634857177734376,1.0170869827270508,-0.0022295474788279535,0.6804378919303418,2080,0.06840264052152634,0.8568829894065857,0.1,0.0013322985,31.589441484212877,0.2
7471104,990,858.89,39.9120979309082,7540,57,1e-06,0.0242950439453125,0.9147161245346069,-0.0019818904591829777,0.6086428744485601,2090,0.06842026859521866,0.8636505007743835,0.1,0.001231649,31.582947093248368,0.2
