rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_fraction,train/loss,train/entropy_loss,train/clip_range_vf,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/std,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
8.240989685058594,278.67,9938,3407872,342,26,0.08934478759765625,0.35251742601394653,-1.0504585952498018,0.2,0.0025830916,-0.0022682075084958344,0.1,0.25373369455337524,6460,0.8519453406333923,1e-05,0.40152255101129414
7.921586513519287,269.48,9947,3538944,355,27,0.0926544189453125,0.32460689544677734,-1.2418994757346808,0.2,0.0026631388,-0.002367837501969916,0.1,0.2557830512523651,6470,0.8513000011444092,1e-05,0.4088333584368229
8.599185943603516,281.65,9956,3670016,368,28,0.0859161376953125,0.3028276860713959,-1.4337370648980141,0.2,0.0025349415,-0.002138073369860649,0.1,0.2578345537185669,6480,0.8584327697753906,1e-05,0.3865254656178877
8.27585220336914,273.94,9959,3801088,381,29,0.08741302490234375,0.3274063467979431,-1.6241407182067633,0.2,0.002582395,-0.0021247806338578813,0.1,0.25987786054611206,6490,0.8574029803276062,1e-05,0.39272140914108605
8.348223686218262,272.43,9962,3932160,394,30,0.09015731811523438,0.28391319513320923,-1.814163389056921,0.2,0.0026178658,-0.002314702178045991,0.1,0.2619500756263733,6500,0.8579671382904053,1e-05,0.39417486446909605
8.090110778808594,271.07,9961,4063232,407,31,0.09041213989257812,0.2899220585823059,-2.0054142639040946,0.2,0.0026415933,-0.00222559542999079,0.1,0.2640577256679535,6510,0.8557997941970825,1e-05,0.40751562381628903
8.103071212768555,273.24,9957,4194304,421,32,0.08602066040039062,0.22103679180145264,-2.1942417439073325,0.2,0.0025477714,-0.0020325890479398366,0.1,0.2661256194114685,6520,0.8618543744087219,1e-05,0.3918277160497382
8.441021919250488,281.68,9961,4325376,434,33,0.086956787109375,0.29240164160728455,-2.385099668800831,0.2,0.0025458275,-0.0020931566494255096,0.1,0.2682744264602661,6530,0.8622959852218628,1e-05,0.3906441713217646
8.233763694763184,274.11,9959,4456448,447,34,0.08496475219726562,0.27669841051101685,-2.578724725730717,0.2,0.002574924,-0.0020099977462450626,0.1,0.27045738697052,6540,0.8541150093078613,1e-05,0.4136166374431923
8.350735664367676,282.04,9960,4587520,460,35,0.08297042846679688,0.20314066112041473,-2.768364419974387,0.2,0.0025082226,-0.001985804660398571,0.1,0.27257347106933594,6550,0.857048749923706,1e-05,0.4096240570768714
7.79188346862793,260.4,9962,4718592,473,36,0.08627548217773437,0.24647006392478943,-2.9580747902393343,0.2,0.0025942302,-0.0020551560637613875,0.1,0.2747495770454407,6560,0.8633612394332886,1e-05,0.38876203272957355
8.296850204467773,271.88,9960,4849664,486,37,0.08764266967773438,0.23177075386047363,-3.1493211356922983,0.2,0.0025809295,-0.0020397457316903454,0.1,0.27695536613464355,6570,0.8525354266166687,1e-05,0.4279666972812265
8.440080642700195,281.96,9957,4980736,500,38,0.085107421875,0.29678046703338623,-3.3398172426968813,0.2,0.002527465,-0.0020653360826145216,0.1,0.27916157245635986,6580,0.8545019626617432,1e-05,0.41886114070657643
7.30196475982666,246.73,9963,5111808,513,39,0.085479736328125,0.24990074336528778,-3.531020125374198,0.2,0.0025646768,-0.0021148467350940335,0.1,0.28140223026275635,6590,0.8546299338340759,1e-05,0.4056873058667406
