time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/clip_range_vf,train/clip_fraction,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/approx_kl,train/learning_rate,train/n_updates,train/std,train/value_loss
4718592,756.66,2606,1809,32.074520111083984,36,0.2,0.14285812377929688,0.1,0.7695252299308777,-0.0016541326321203088,2.2318389415740967,31.07019096463919,0.0034182994,1e-05,350,0.06656362861394882,0.7020754014607519
4849664,737.21,2605,1861,30.86355209350586,37,0.2,0.14562149047851564,0.1,0.770900309085846,-0.0017676122486363966,2.0891480445861816,30.86653591841459,0.0034541846,1e-05,360,0.0671258494257927,0.6129297289298847
4980736,687.0,2605,1911,28.922372817993164,38,0.2,0.14035186767578126,0.1,0.7654590606689453,-0.0015903357113984384,2.1460325717926025,30.665442840754984,0.0033725034,1e-05,370,0.06768832355737686,0.7289709021802991
5111808,728.39,2604,1963,30.642465591430664,39,0.2,0.1408721923828125,0.1,0.7827466726303101,-0.0020812914476664446,2.019878625869751,30.462660233676434,0.0033669202,1e-05,380,0.06826714426279068,0.6304601240903139
5242880,750.37,2603,2014,31.600183486938477,40,0.2,0.14171218872070312,0.1,0.7638964056968689,-0.0016123607492318115,2.2154221534729004,30.258987195789814,0.0033627453,1e-05,390,0.06884834915399551,0.7106876009376719
5373952,700.22,2602,2064,29.242931365966797,41,0.2,0.13945083618164061,0.1,0.7678463459014893,-0.0014867564066207706,2.17325496673584,30.057053272426128,0.0033262814,1e-05,400,0.06942713260650635,0.6335848442744464
5505024,684.83,2602,2115,28.76025390625,42,0.2,0.13794097900390626,0.1,0.7557228803634644,-0.0015432074753334746,2.1243398189544678,29.854985576868057,0.0032578344,1e-05,410,0.07001648098230362,0.7521766479592771
5636096,779.46,2601,2166,32.69282531738281,43,0.2,0.13675994873046876,0.1,0.7865191698074341,-0.0018477947223800584,2.165529727935791,29.653586304187776,0.003362862,1e-05,420,0.07060222327709198,0.6511444818461314
5767168,750.46,2601,2217,31.74958038330078,44,0.2,0.13728866577148438,0.1,0.7757085561752319,-0.0016112655479446404,2.123434066772461,29.45119800120592,0.0033828719,1e-05,430,0.07120560109615326,0.7083542083622888
5898240,764.76,2600,2267,32.09978103637695,45,0.2,0.13745574951171874,0.1,0.7687259912490845,-0.001705380895464259,2.095165252685547,29.248316767811776,0.0032767684,1e-05,440,0.07180704921483994,0.6736806039232761
6029312,740.63,2600,2318,31.106300354003906,46,0.2,0.1425506591796875,0.1,0.790222704410553,-0.0018861429186472379,2.1951611042022705,29.04526001214981,0.003380522,1e-05,450,0.07241855561733246,0.6998181209666654
6160384,786.97,2600,2369,33.23128890991211,47,0.2,0.13443374633789062,0.1,0.7844176888465881,-0.0017116716458986047,2.147735357284546,28.842185385525227,0.0033402324,1e-05,460,0.07303618639707565,0.6395404787035659
6291456,779.31,2599,2419,32.968994140625,48,0.2,0.13485946655273437,0.1,0.734208881855011,-0.0015340409752752748,2.14103364944458,28.637833830714225,0.0032794974,1e-05,470,0.07366079837083817,0.7389559977222234
6422528,745.12,2599,2470,31.57941436767578,49,0.2,0.13167495727539064,0.1,0.800730288028717,-0.0016019369244531846,2.0690927505493164,28.435844187438487,0.003262473,1e-05,480,0.07427798956632614,0.6379921374144033
6553600,739.99,2599,2521,31.03872299194336,50,0.2,0.133197021484375,0.1,0.7755377292633057,-0.0016131420959936804,2.129974842071533,28.23665665835142,0.0031919628,1e-05,490,0.07489563524723053,0.6656015556538477
6684672,737.31,2598,2572,30.9751033782959,51,0.2,0.13285751342773439,0.1,0.7917474508285522,-0.0015786856844897557,2.131269931793213,28.0372391179204,0.0032508243,1e-05,500,0.07552147656679153,0.7018334396881982
6815744,796.74,2598,2623,34.045440673828125,52,0.2,0.13366165161132812,0.1,0.77992844581604,-0.0014769085941225058,2.1076276302337646,27.837505207955836,0.0032903603,1e-05,510,0.07615327835083008,0.6618562516290695
6946816,723.92,2598,2673,30.56757164001465,53,0.2,0.13670120239257813,0.1,0.7550483345985413,-0.0016661675755131,2.0645534992218018,27.635935738682747,0.0033027304,1e-05,520,0.07679684460163116,0.7095867221709341
7077888,756.88,2597,2724,32.07056427001953,54,0.2,0.13193206787109374,0.1,0.7599655389785767,-0.00148056200814608,2.0890965461730957,27.435090890526773,0.0032631666,1e-05,530,0.07744183391332626,0.6699857499683276
7208960,731.39,2597,2775,30.806276321411133,55,0.2,0.1362884521484375,0.1,0.7521438598632812,-0.001609100221958215,2.1045711040496826,27.232660345733166,0.0032953452,1e-05,540,0.07810240983963013,0.7742226192727685
7340032,777.36,2596,2826,32.69691848754883,56,0.2,0.13296127319335938,0.1,0.7747482657432556,-0.0016708029358596832,2.091798782348633,27.032791681587696,0.0031996793,1e-05,550,0.07874580472707748,0.634594458132051
7471104,794.71,2596,2877,33.66730880737305,57,0.2,0.13416519165039062,0.1,0.7368839979171753,-0.0017244408744772955,2.1799538135528564,26.83089822381735,0.003368993,1e-05,560,0.07942381501197815,0.743182604573667
7602176,778.45,2596,2927,32.936161041259766,58,0.2,0.13723068237304686,0.1,0.7722432017326355,-0.0018657218149655819,1.9811674356460571,26.626236583292485,0.0033378755,1e-05,570,0.08009962737560272,0.6899593121604994
7733248,778.68,2596,2978,33.03839111328125,59,0.2,0.13261260986328124,0.1,0.7489854097366333,-0.001643118488482287,1.9182181358337402,26.42272884696722,0.0033465968,1e-05,580,0.08078619837760925,0.6846532406285405
7864320,752.59,2589,3037,31.712413787841797,60,0.2,0.13231735229492186,0.1,0.7840499877929688,-0.0017568510226738,1.8499772548675537,26.217743726074694,0.0032772021,1e-05,590,0.081479012966156,0.670693545229733
7995392,788.01,2583,3095,33.198944091796875,61,0.2,0.13097915649414063,0.1,0.7671487927436829,-0.0016130249331126833,2.039668560028076,26.012324266135693,0.0032755758,1e-05,600,0.08218052238225937,0.6910046836594119
8126464,718.57,2579,3150,30.15139389038086,62,0.2,0.13419723510742188,0.1,0.7596043348312378,-0.0016552692670757096,1.9559211730957031,25.80585806667805,0.0033140345,1e-05,610,0.08288890868425369,0.7130623123608529
8257536,774.94,2579,3201,32.564125061035156,63,0.2,0.12943344116210936,0.1,0.7836492657661438,-0.0017498230113233149,2.10249662399292,25.60186298042536,0.0032387585,1e-05,620,0.08359566330909729,0.6284175764070824
8388608,731.7,2579,3252,30.548412322998047,64,0.2,0.12959136962890624,0.1,0.7562337517738342,-0.001543562881897742,2.0550317764282227,25.398930172622205,0.0032184478,1e-05,630,0.08430228382349014,0.722892870567739
8519680,800.77,2578,3303,33.984310150146484,65,0.2,0.13140029907226564,0.1,0.7812426090240479,-0.0018026998699951946,1.9793113470077515,25.194862146675586,0.0032748128,1e-05,640,0.0850258395075798,0.6559048616094515
8650752,747.75,2578,3354,31.474374771118164,66,0.2,0.13303604125976562,0.1,0.7295227646827698,-0.0016517070169356884,1.90702223777771,24.988452522456647,0.003329405,1e-05,650,0.08576218038797379,0.7312989810714499
8781824,802.98,2578,3405,33.84844207763672,67,0.2,0.13065032958984374,0.1,0.7680534720420837,-0.0017217013331674025,2.00292706489563,24.78400889188051,0.0032238415,1e-05,660,0.08649033308029175,0.7174112802604213
8912896,791.75,2578,3456,33.65963363647461,68,0.2,0.13360366821289063,0.1,0.7508059144020081,-0.0018154448485802276,1.7584505081176758,24.580636972188948,0.003350811,1e-05,670,0.08722975850105286,0.6667647393187508
9043968,819.46,2578,3507,34.729557037353516,69,0.2,0.13158035278320312,0.1,0.7705622315406799,-0.0017327923752418427,1.8554638624191284,24.374366898834705,0.0032779626,1e-05,680,0.08798713237047195,0.6526623050216586
9175040,789.1,2578,3557,33.22526168823242,70,0.2,0.13176116943359376,0.1,0.7335547208786011,-0.0018086165985096159,1.9166862964630127,24.167852687835694,0.003298976,1e-05,690,0.08874547481536865,0.6375796700362116
9306112,734.75,2578,3608,30.706594467163086,71,0.2,0.12880630493164064,0.1,0.7480083703994751,-0.0017554651722093695,2.0597100257873535,23.961462719738485,0.0032431558,1e-05,700,0.08951383829116821,0.7264351048972457
9437184,787.55,2578,3659,33.273338317871094,72,0.2,0.12735137939453126,0.1,0.7436502575874329,-0.0015039022730434226,1.7635726928710938,23.75725933611393,0.0031853744,1e-05,710,0.09027090668678284,0.6750382171943784
9568256,806.19,2578,3710,33.91292190551758,73,0.2,0.13093032836914062,0.1,0.7516521215438843,-0.0017333641229015484,1.8463611602783203,23.55425210595131,0.0033034883,1e-05,720,0.09103839844465256,0.719089022744447
9699328,772.09,2578,3761,32.910430908203125,74,0.2,0.13437881469726562,0.1,0.7545825242996216,-0.001929906010900595,1.8704426288604736,23.351311556994915,0.0033356189,1e-05,730,0.09181209653615952,0.6287156246602535
9830400,803.15,2578,3811,33.961952209472656,75,0.2,0.12688674926757812,0.1,0.7448208332061768,-0.0016621410967673001,1.762463092803955,23.146125899255274,0.0032321215,1e-05,740,0.09260233491659164,0.7419689679518342
9961472,745.51,2578,3862,31.186500549316406,76,0.2,0.12965927124023438,0.1,0.765477180480957,-0.0018790141290992324,1.7464251518249512,22.938142040371893,0.0032982957,1e-05,750,0.09341737627983093,0.6462070099776611
10092544,776.76,2579,3913,32.403289794921875,77,0.2,0.12971420288085939,0.1,0.7580756545066833,-0.0018574253122551454,1.6480662822723389,22.732982639968395,0.0031996523,1e-05,760,0.09420286864042282,0.7349431496113539
