time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/std,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/value_loss,train/clip_range_vf,train/explained_variance,train/clip_fraction
797,34.27666473388672,758.6,7721,6160384,47,0.05468108505010605,460,-0.0022977113354500033,37.206273081898686,0.9364584684371948,1e-05,0.1,0.002294253,0.6493610067758709,0.2,0.8738381862640381,0.1111785888671875
814,34.1468620300293,761.19,7719,6291456,48,0.05477365106344223,470,-0.002304220636824539,37.15928418934345,0.9636387825012207,1e-05,0.1,0.0022525857,0.6194833955494687,0.2,0.8781962990760803,0.10918197631835938
831,36.4937629699707,813.55,7720,6422528,49,0.05486941337585449,480,-0.002504466210575629,37.1162056684494,0.9847970008850098,1e-05,0.1,0.002210993,0.5984886974096298,0.2,0.8666549324989319,0.110076904296875
848,37.57749938964844,828.2,7720,6553600,50,0.05497271567583084,490,-0.002116904445074397,37.0706656485796,0.7875853776931763,1e-05,0.1,0.0022237347,0.65923340767622,0.2,0.8466343879699707,0.10802383422851562
865,38.61648178100586,848.96,7721,6684672,51,0.055076323449611664,500,-0.0022273858474363807,37.023836103081706,1.0097367763519287,1e-05,0.1,0.0022124453,0.6105158576508984,0.2,0.8524450063705444,0.10767898559570313
882,39.73173141479492,866.11,7720,6815744,52,0.0551847405731678,510,-0.002308132582311373,36.97568406462669,0.9498921632766724,1e-05,0.1,0.0022420476,0.6061313787009567,0.2,0.852995753288269,0.11252059936523437
899,36.21560287475586,798.14,7719,6946816,53,0.055289555341005325,520,-0.0021194729102717246,36.92689199745655,0.9809385538101196,1e-05,0.1,0.0021859733,0.6415265552466736,0.2,0.8458553552627563,0.1075103759765625
916,38.676368713378906,840.89,7720,7077888,54,0.0554099939763546,530,-0.0023452925631318065,36.87579858899117,1.0148108005523682,1e-05,0.1,0.0022309888,0.6405215444043278,0.2,0.8527960181236267,0.11053009033203125
933,36.42908477783203,797.61,7720,7208960,55,0.055537328124046326,540,-0.0021802056927754166,36.82010531723499,1.065032720565796,1e-05,0.1,0.002242715,0.6860902205342427,0.2,0.8381483554840088,0.10944366455078125
950,36.71298599243164,805.49,7720,7340032,56,0.05563829466700554,550,-0.0022751525800686068,36.76892299056053,0.8249262571334839,1e-05,0.1,0.0022078492,0.6115243292646483,0.2,0.8743689060211182,0.1090423583984375
967,35.649864196777344,788.78,7720,7471104,57,0.05574261024594307,560,-0.0026778289714002312,36.72267274856567,1.0614968538284302,1e-05,0.1,0.0021946686,0.6284623205196113,0.2,0.8711240291595459,0.11177597045898438
985,36.23722839355469,801.34,7716,7602176,58,0.055857058614492416,570,-0.002378841974586976,36.6734680712223,0.9097052812576294,1e-05,0.1,0.0022483687,0.5872728365240618,0.2,0.8785632252693176,0.10717697143554687
1002,32.89974594116211,737.35,7716,7733248,59,0.05597100406885147,580,-0.002309495089957636,36.622154352068904,1.0055079460144043,1e-05,0.1,0.0021509898,0.6231742114759982,0.2,0.8747144937515259,0.10355377197265625
1019,32.36981964111328,726.25,7715,7864320,60,0.05607864260673523,590,-0.002643570417558294,36.572820433974265,0.8790775537490845,1e-05,0.1,0.002210408,0.5830314313760028,0.2,0.8989051580429077,0.10846099853515626
1036,31.37505340576172,697.7,7714,7995392,61,0.0561944805085659,600,-0.0025723040414959543,36.522716495394704,1.0096758604049683,1e-05,0.1,0.0021915473,0.5936783072538674,0.2,0.9021164178848267,0.104376220703125
1053,32.60006332397461,725.58,7714,8126464,62,0.056303687393665314,610,-0.002490990245996727,36.4733292222023,0.9224933385848999,1e-05,0.1,0.0021050167,0.579594184202142,0.2,0.9037837982177734,0.10230331420898438
1070,34.80801773071289,766.45,7715,8257536,63,0.05639110505580902,620,-0.0023817598256755446,36.42990034520626,0.8777905106544495,1e-05,0.1,0.0021239799,0.6052378429565579,0.2,0.8936789631843567,0.10262374877929688
1087,34.75886154174805,764.87,7716,8388608,64,0.05650440603494644,630,-0.00249380128334451,36.38472580909729,1.0180329084396362,1e-05,0.1,0.0021012418,0.6212182836141438,0.2,0.8853100538253784,0.10141754150390625
