time/time_elapsed,time/iterations,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/std,train/clip_range,train/explained_variance,train/clip_fraction,train/n_updates,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/clip_range_vf
675,59,11453,7733248,773.04,27.899269104003906,2.1159904e-05,0.2642410695552826,0.1,0.845819354057312,0.0,9240,-2.1074871504679322,0.40481090545654297,1e-07,0.5282644734485075,-0.00011059767421102151,0.2
686,60,11453,7864320,657.09,22.625526428222656,1.77585e-05,0.26427558064460754,0.1,0.8303847908973694,0.0,9250,-2.1105354372411966,0.592039942741394,1e-07,0.5345095168566332,-0.00010573955169093096,0.2
698,61,11452,7995392,625.35,21.221046447753906,1.9097391e-05,0.264309287071228,0.1,0.8413428068161011,0.0,9260,-2.1136333337053657,0.5617653131484985,1e-07,0.6016545666381716,-0.00012619724129763198,0.2
709,62,11454,8126464,730.37,26.368270874023438,2.0042493e-05,0.2643420100212097,0.1,0.8799738883972168,0.0,9270,-2.116652133874595,0.4043099582195282,1e-07,0.4890477685490623,-0.00013028021840000292,0.2
720,63,11458,8257536,671.57,23.444961547851562,2.5234094e-05,0.2643771767616272,0.1,0.8463144302368164,0.0,9280,-2.119732604548335,0.40264126658439636,1e-07,0.5388863273896277,-0.00014379483727680053,0.2
732,64,11457,8388608,687.7,24.185558319091797,1.8657958e-05,0.26440906524658203,0.1,0.8564851880073547,0.0,9290,-2.1227659612894056,0.5077559947967529,1e-07,0.5305651602102444,-0.00011963896104134619,0.2
743,65,11456,8519680,706.19,24.808494567871094,1.9640465e-05,0.26444289088249207,0.1,0.8512942790985107,0.0,9300,-2.1257556047290564,0.4983936846256256,1e-07,0.5435226327972487,-0.00012562060946947896,0.2
755,66,11456,8650752,722.99,25.210206985473633,1.6847589e-05,0.2644774913787842,0.1,0.8508839011192322,0.0,9310,-2.12886055726558,0.4266427457332611,1e-07,0.5133936039172113,-0.00011899149867531378,0.2
766,67,11458,8781824,718.45,25.497026443481445,1.984505e-05,0.26450979709625244,0.1,0.840896487236023,0.0,9320,-2.1318852581083774,0.35312771797180176,1e-07,0.5404311291174964,-0.00011591131360546569,0.2
777,68,11459,8912896,654.07,22.8503360748291,2.8639332e-05,0.2645423412322998,0.1,0.8528937697410583,0.0,9330,-2.134832775592804,0.3311932682991028,1e-07,0.5168013706337661,-0.00013776657015114325,0.2
789,69,11458,9043968,657.6,22.662860870361328,2.444163e-05,0.26457542181015015,0.1,0.8432497978210449,0.0,9340,-2.137820441275835,0.4381030797958374,1e-07,0.5629718629876151,-0.00013080086391710212,0.2
800,70,11455,9175040,641.21,22.202363967895508,1.5507341e-05,0.26460936665534973,0.1,0.8590641021728516,0.0,9350,-2.1408507278189064,0.4204421937465668,1e-07,0.5359125887975097,-0.0001133379288148717,0.2
812,71,11454,9306112,660.52,22.178001403808594,1.60794e-05,0.2646428048610687,0.1,0.8740872144699097,0.0,9360,-2.1438963670283555,0.39035290479660034,1e-07,0.5175249861786142,-0.00011268536090938141,0.2
823,72,11454,9437184,724.03,24.964208602905273,1.9374696e-05,0.2646763324737549,0.1,0.8669676184654236,0.0,9370,-2.146939086727798,0.38737210631370544,1e-07,0.49944323727395384,-0.00013385093102442626,0.2
835,73,11457,9568256,714.23,25.188718795776367,2.5973233e-05,0.2647087574005127,0.1,0.8533486127853394,0.0,9380,-2.1499192086979746,0.33189657330513,1e-07,0.5109891983214766,-0.00013785252440357,0.2
846,74,11457,9699328,671.8,23.45981216430664,2.2690901e-05,0.264741450548172,0.1,0.8490307331085205,0.0,9390,-2.152867521159351,0.35407906770706177,1e-07,0.5169864839874208,-0.00012593722467499902,0.2
857,75,11457,9830400,684.16,23.965900421142578,1.6958917e-05,0.2647743821144104,0.1,0.8667235374450684,0.0,9400,-2.1558402463793755,0.45049241185188293,1e-07,0.508444141317159,-0.000118302860755648,0.2
869,76,11457,9961472,728.94,25.850341796875,2.796674e-05,0.2648087739944458,0.1,0.8628488779067993,0.0,9410,-2.1588994413614273,0.3372044563293457,1e-07,0.5011927684303373,-0.00014148458676572774,0.2
880,77,11456,10092544,674.72,24.013427734375,2.0842628e-05,0.2648422122001648,0.1,0.849990725517273,0.0,9420,-2.1619670955464243,0.46596890687942505,1e-07,0.5556941037299111,-0.00012739222538584726,0.2
