time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,train/clip_range_vf,train/entropy_loss,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/std,train/value_loss,train/loss,train/learning_rate,train/clip_range,train/explained_variance,train/n_updates,train/adaptive_lr
2557,544.71,2203,43,21.061025619506836,5636096,0.2,37.90336184203625,0.0018505189,0.0804779052734375,-0.002340640583906861,0.053162455558776855,0.5655856506200507,0.9483984708786011,6.6666666666666675e-06,0.1,0.8901209235191345,420,6.6666666666666675e-06
2616,517.2,2203,44,19.907634735107422,5767168,0.2,37.86664337813854,0.0019197243,0.08200836181640625,-0.0024430391590613,0.05324217677116394,0.5932455517817289,0.9555824398994446,6.6666666666666675e-06,0.1,0.8829097747802734,430,6.6666666666666675e-06
2676,513.09,2203,45,19.993032455444336,5898240,0.2,37.82829470038414,0.0018981696,0.08311004638671875,-0.002558923832111759,0.05332592874765396,0.5725315897958353,0.9136183261871338,6.6666666666666675e-06,0.1,0.8933683633804321,440,6.6666666666666675e-06
2735,525.2,2204,46,20.145132064819336,6029312,0.2,37.79186060428619,0.0018766655,0.08147430419921875,-0.0022446982445217143,0.053397540003061295,0.5445016821380705,0.9810525178909302,6.6666666666666675e-06,0.1,0.8914063572883606,450,6.6666666666666675e-06
2794,518.17,2204,47,20.33025360107422,6160384,0.2,37.75552958250046,0.0018776362,0.08101425170898438,-0.002398181621083495,0.05348210036754608,0.5343069131951779,0.8783632516860962,6.6666666666666675e-06,0.1,0.9024428129196167,460,6.6666666666666675e-06
2853,485.18,2204,48,19.230960845947266,6291456,0.2,37.71480355858803,0.0018907245,0.08395919799804688,-0.0024459660956381414,0.0535697378218174,0.5671768054598942,0.9591240882873535,6.6666666666666675e-06,0.1,0.8931100368499756,470,6.6666666666666675e-06
2913,455.82,2204,49,18.264291763305664,6422528,0.2,37.67676856219769,0.0018903096,0.0845916748046875,-0.0022104645123363297,0.05364702269434929,0.583730905666016,0.9032084941864014,6.6666666666666675e-06,0.1,0.8883728981018066,480,6.6666666666666675e-06
2972,455.18,2204,50,18.086524963378906,6553600,0.2,37.64249096810818,0.0019321162,0.08389205932617187,-0.0022427573296681658,0.05371787026524544,0.604921311675571,0.9325240850448608,6.6666666666666675e-06,0.1,0.8929525017738342,490,6.6666666666666675e-06
3031,456.85,2205,51,18.033655166625977,6684672,0.2,37.60825518071651,0.0019669891,0.08662796020507812,-0.002351702921009746,0.053792983293533325,0.5818181751761585,0.9765408039093018,6.6666666666666675e-06,0.1,0.8959816098213196,500,6.6666666666666675e-06
3090,470.28,2205,52,18.296226501464844,6815744,0.2,37.57196291387081,0.0019043123,0.08777236938476562,-0.0022351958595209,0.053874045610427856,0.58634719226975,0.9657784700393677,6.6666666666666675e-06,0.1,0.8984681367874146,510,6.6666666666666675e-06
3149,484.8,2205,53,18.649940490722656,6946816,0.2,37.53350143134594,0.0019359645,0.08655776977539062,-0.0023426943483173092,0.053958192467689514,0.5946888596517965,0.9505615234375,6.6666666666666675e-06,0.1,0.8934051990509033,520,6.6666666666666675e-06
3209,466.61,2205,54,17.693838119506836,7077888,0.2,37.49679137170315,0.0020045317,0.0907135009765625,-0.0026417122592192754,0.054032936692237854,0.5694859406445175,0.8614606857299805,6.6666666666666675e-06,0.1,0.8962315320968628,530,4.444444444444445e-06
3268,467.98,2205,55,17.824928283691406,7208960,0.2,37.467090451717375,0.0017079605,0.06852569580078124,-0.002542606356473698,0.05408976599574089,0.5496448035584762,0.9276105165481567,4.444444444444445e-06,0.1,0.902590274810791,540,4.444444444444445e-06
3327,490.79,2205,56,18.8078670501709,7340032,0.2,37.43905862271786,0.0016673445,0.06623306274414062,-0.002569241786568455,0.054153889417648315,0.5295620200922713,0.9050658941268921,4.444444444444445e-06,0.1,0.9025183320045471,550,4.444444444444445e-06
3387,498.83,2205,57,18.952850341796875,7471104,0.2,37.41130310595035,0.0016999028,0.06893539428710938,-0.002727214444439596,0.054210711270570755,0.5097735282965005,0.8867425918579102,4.444444444444445e-06,0.1,0.9052114486694336,560,4.444444444444445e-06
