rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/explained_variance,train/n_updates,train/clip_range_vf,train/loss,train/value_loss,train/std,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/learning_rate
519.56,1359,15859712,121,11661,16.96686363220215,0.8863751888275146,7410,0.2,0.6846312880516052,0.5485595918726176,0.23318052291870117,0.1,-0.0011420434092542565,0.0008877062,0.9027760217897594,0.0059234619140625,1e-06
637.51,1371,15990784,122,11661,21.322893142700195,0.8919984102249146,7420,0.2,0.5549324154853821,0.4884398927213624,0.23339900374412537,0.1,-0.0012918675495711795,0.001030104,0.8800795598886907,0.012477874755859375,1e-06
641.99,1382,16121856,123,11661,21.68490982055664,0.8826223015785217,7430,0.2,0.572937548160553,0.5040597874438391,0.233623206615448,0.1,-0.0011003893419911036,0.00088953855,0.8573329770937562,0.00704193115234375,1e-06
592.38,1393,16252928,124,11661,20.406333923339844,0.8708792924880981,7440,0.2,0.6391657590866089,0.545408961432986,0.23384028673171997,0.1,-0.0011262208320658828,0.0008925912,0.8347127295099199,0.006739044189453125,1e-06
686.29,1405,16384000,125,11661,23.949321746826172,0.8755063414573669,7450,0.2,0.541285514831543,0.4969145298236981,0.23406532406806946,0.1,-0.0012034167683850684,0.0009561766,0.8119976941496134,0.00876312255859375,1e-06
610.49,1416,16515072,126,11658,21.015249252319336,0.8704653978347778,7460,0.2,0.45419982075691223,0.5206525451038033,0.2342860996723175,0.1,-0.0010977026776345157,0.000909849,0.7891445218585431,0.007283782958984375,1e-06
592.9,1427,16646144,127,11657,19.616531372070312,0.8673446178436279,7470,0.2,0.6638954877853394,0.5542387061519548,0.23450589179992676,0.1,-0.0013179336392568075,0.0010081348,0.7665720445103943,0.01104888916015625,1e-06
592.34,1439,16777216,128,11656,20.316007614135742,0.888575553894043,7480,0.2,0.6378580927848816,0.4508295042673126,0.23473016917705536,0.1,-0.001130949619346211,0.00090364437,0.7438582444563508,0.00597686767578125,1e-06
554.64,1450,16908288,129,11656,18.1938419342041,0.8601032495498657,7490,0.2,0.754732072353363,0.5834751053946092,0.234951913356781,0.1,-0.0011620544842116942,0.00092539884,0.7210401510819793,0.008382415771484375,1e-06
641.87,1461,17039360,130,11657,22.419300079345703,0.885603129863739,7500,0.2,0.5702139139175415,0.5019085074076429,0.2351732850074768,0.1,-0.0011636030998488423,0.00095982105,0.698441201634705,0.008678436279296875,1e-06
616.4,1472,17170432,131,11658,21.726293563842773,0.8810906410217285,7510,0.2,0.44950181245803833,0.5084913811413572,0.2353915572166443,0.1,-0.001097250826569507,0.0009332589,0.6760099531151355,0.00926361083984375,1e-06
576.44,1483,17301504,132,11659,19.669761657714844,0.8762519359588623,7520,0.2,0.5771010518074036,0.5302117732586339,0.23561285436153412,0.1,-0.0009224669324794377,0.0007926151,0.6536144848912955,0.00380401611328125,1e-06
636.07,1495,17432576,133,11660,21.862207412719727,0.8841357231140137,7530,0.2,0.6044986844062805,0.49773064816836265,0.2358357012271881,0.1,-0.001100686217978364,0.0009260379,0.6309933492913842,0.008115386962890625,1e-06
614.08,1506,17563648,134,11661,21.251781463623047,0.8656469583511353,7540,0.2,0.5265436768531799,0.5453067498747259,0.23605631291866302,0.1,-0.0011004508353835262,0.0009227472,0.6084292724728584,0.0094268798828125,1e-06
595.0,1517,17694720,135,11662,20.618408203125,0.8761271238327026,7550,0.2,0.5377920269966125,0.5099757069954649,0.2362796515226364,0.1,-0.0011136834895296489,0.0009274152,0.5858751926571131,0.007668304443359375,1e-06
631.98,1528,17825792,136,11663,22.190101623535156,0.8798927068710327,7560,0.2,0.7198536396026611,0.5224337903084233,0.236501544713974,0.1,-0.0011776389337683213,0.00093747117,0.5632878738455475,0.008983612060546875,1e-06
664.56,1539,17956864,137,11664,23.636106491088867,0.8716832399368286,7570,0.2,0.7404627799987793,0.5440946613904089,0.23672878742218018,0.1,-0.00109447531413025,0.00087463047,0.5404405851848424,0.0057647705078125,1e-06
683.84,1550,18087936,138,11664,24.253684997558594,0.8749804496765137,7580,0.2,0.5848368406295776,0.5157296599820256,0.23695144057273865,0.1,-0.0011457218232862943,0.00094231893,0.5176634719595313,0.00964813232421875,1e-06
633.9,1561,18219008,139,11665,22.65936851501465,0.869727373123169,7590,0.2,0.4923311471939087,0.556041048723273,0.23718029260635376,0.1,-0.001061704262974672,0.00091775483,0.4947826507501304,0.00799407958984375,1e-06
709.95,1572,18350080,140,11666,25.819202423095703,0.8604764342308044,7600,0.2,0.6156828999519348,0.5720683801686391,0.2373971939086914,0.1,-0.001043932257925917,0.0010004267,0.4722875191830099,0.009909820556640626,1e-06
619.32,1583,18481152,141,11667,22.064470291137695,0.8582367897033691,7610,0.2,0.5234285593032837,0.5246678401017562,0.23762111365795135,0.1,-0.001167132230966672,0.0009882762,0.4499884991906583,0.010613250732421874,1e-06
632.48,1595,18612224,142,11668,21.798295974731445,0.8612853288650513,7620,0.2,0.5146477818489075,0.591842400166206,0.23784199357032776,0.1,-0.0009444362442081911,0.0008312671,0.4275534311309457,0.005062103271484375,1e-06
632.65,1606,18743296,143,11669,21.696741104125977,0.8763889074325562,7630,0.2,0.4611493945121765,0.5118992250179872,0.23806831240653992,0.1,-0.0012856249303695223,0.0009891791,0.40494916792958974,0.0117431640625,1e-06
617.69,1617,18874368,144,11671,21.589941024780273,0.871594250202179,7640,0.2,0.463929146528244,0.5600680320523679,0.23828880488872528,0.1,-0.0011097399035861599,0.0009469115,0.382496427744627,0.008697509765625,1e-06
583.08,1628,19005440,145,11670,20.340879440307617,0.8664419651031494,7650,0.2,0.5358908772468567,0.5216010027565062,0.2385120838880539,0.1,-0.0011580067527575011,0.0009340486,0.36011004317551853,0.007177734375,1e-06
649.78,1639,19136512,146,11670,23.08733558654785,0.8592966794967651,7660,0.2,0.6667750477790833,0.6097587207099423,0.23873381316661835,0.1,-0.0010977828957038581,0.0009579563,0.3377178649418056,0.010619354248046876,1e-06
628.4,1651,19267584,147,11669,21.83272933959961,0.8826337456703186,7670,0.2,0.4575994312763214,0.46802277413662524,0.23895949125289917,0.1,-0.0011966411729190441,0.0009918989,0.3152245060540736,0.009670257568359375,1e-06
625.94,1662,19398656,148,11668,22.042715072631836,0.86220782995224,7680,0.2,0.5073726177215576,0.5485258096130565,0.23918834328651428,0.1,-0.000941082451663533,0.0008876788,0.29239160949364307,0.006021881103515625,1e-06
620.59,1673,19529728,149,11668,21.71709632873535,0.8727883100509644,7690,0.2,0.5898410081863403,0.5484766632085666,0.23941755294799805,0.1,-0.0011615157442975033,0.00095246953,0.26943805171176793,0.00927276611328125,1e-06
704.01,1684,19660800,150,11668,25.633302688598633,0.8721715807914734,7700,0.2,0.5766765475273132,0.5358613297576085,0.23964565992355347,0.1,-0.0011293720959656638,0.00094409817,0.24653338277712464,0.01002349853515625,1e-06
